"id"," name"," count"
"5163","Friedenslauf","1"
"5169","Hoffnung","1"
"5172","nervig","1"
"5176","Raben","1"
"5177","Kastanienallee","1"
"5179","Berlin Wall","1"
"5180","Saxophone","1"
"5185","Bakery","1"
"5187","Balzer","1"
"5188","Cul-de-sac","1"
"5189","oasis","1"
"5191","Einkaufen in Berlin","1"
"5192","backyard","1"
"5194","no drinking water","1"
"5195","Öffentlicher Raum","1"
"5197","Anezettelt","1"
"5198","Strandbad Mitte","1"
"5199","Springbrunnen","1"
"5200","französische Botschaft","1"
"5201","Pariser Platz","1"
"5202","Lärm","1"
"5203","Stille","1"
"5204","Holocaust Denkmal","1"
"5206","Veranstaltungen","1"
"5207","Michael Jackson","1"
"5209","Hohenschönhausen","1"
"5210","Jail","1"
"5211","blind guided tour","1"
"5212","helmut","1"
"5214","moin","1"
"5215","BSBH","1"
"5216","blind","1"
"5217","sehbehindert","1"
"5218","blindenselbsthilfe","1"
"5219","Beratung","1"
"5222","First","1"
"5223","i m on Market Square","1"
"5230","Compostela","1"
"5232","Gaiteiro","1"
"5239","balea","1"
"5240","Milladoiro","1"
"5241","Ames","1"
"5246","ONCE","1"
"5248","Oficina tráfico","1"
"5251","Fochanca","1"
"5254","paso","1"
"5255","Fotocopias","1"
"5257","servicios alumnado","1"
"5258","Obras","1"
"5260","Semáforos no sonoros","1"
"5262","Civus","1"
"5264","matemáticas","1"
"5266","Feuga","1"
"5267","Escuela ingeniería","1"
"5269","Mata ciegos","1"
"5270","IA","1"
"5271","Iiaa","1"
"5273","IIT","1"
"5274","rampa con peligro","1"
"5276","CACTUS","1"
"5277","TYC","1"
"5278","Imprenta","1"
"5280","OPUS","1"
"5282","Pistas atletismo","1"
"5285","Precaución mami","1"
"5286","Zona verde","1"
"5291","Institutos","1"
"5294","Kioscos","1"
"5300","Semaforo sonoro","1"
"5302","Cerveceria","1"
"5305","línea 5","1"
"5306","Igrexas","1"
"5311","Entrada inaccesible","1"
"5312","Supermercados","1"
"5313","froiz","1"
"5319","Franco","1"
"5322","Xamon","1"
"5323","buenjamon","1"
"5324","merenda","1"
"5325","RECORDOS","1"
"5326","tradicional","1"
"5328","Plataformas","1"
"5330","hostal","1"
"5331","con cello","1"
"5333","Obradoiro","1"
"5335","Tabernas","1"
"5336","convento","1"
"5340","santa lucia","1"
"5341","peregrinos","1"
"5342","Ferias","1"
"5343","San Martín Pinario","1"
"5344","Claustro","1"
"5345","Acceso minusvalidos","1"
"5347","Casa da Troia","1"
"5352","descanso","1"
"5358","Portales","1"
"5359","Obras finalizada","1"
"5361","Verán","1"
"5362","Plazos discapacitados","1"
"5364","Aldeas","1"
"5371","ein","1"
"5373","strand","1"
"5374","Italian","1"
"5375","extertal","1"
"5377","Drogerie Markt","1"
"5378","tapeten","1"
"5381","Sightseeing","1"
"5382","Info generali","1"
"5384","Fitness","1"
"5385","Recomendado para visitar","1"
"5390","Cartello","1"
"5393","Totem","1"
"5404","Halo","1"
"5409","Ogromny kot","1"
"5411","podwórko","1"
"5413","Wiersz na murze","1"
"5414","duze skrzyzowanie","1"
"5415","Wąski chodnik","1"
"5416","udźwiękowione","1"
"5418","Kirche","1"
"5419","church","1"
"5420","église","1"
"5423","Witam Tadeusz","1"
"5424","Tomek","1"
"5427","Zamieszkuje Iza Dawidowicz","1"
"5429","Gródek","1"
"5430","Szukamy internetu","1"
"5432","Muchomory","1"
"5433","grzyby","1"
"5434","Boisko","1"
"5435","sztuczna nawierzchnia","1"
"5436","Palarnia","1"
"5437","W kierunku centrum","1"
"5438","Dąb","1"
"5439","Laka","1"
"5440","stadion","1"
"5443","hałas","1"
"5444","duży ruch","1"
"5445","skrzyżowanie","1"
"5446","Granie na trawie","1"
"5447","Przychodnia Pulsantis","1"
"5448","Hala Targowa","1"
"5452","funlife","1"
"5453","Szkolenie","1"
"5454","Fontanna rynek","1"
"5458","Pregież rynek Wrocław","1"
"5460","teraz","1"
"5461","Schody do nikad","1"
"5462","Dobra","1"
"5463","Plac strzelecki","1"
"5464","Spacer","1"
"5465","Feniks","1"
"5467","Zus","1"
"5468","Urząd miasta Wrocław","1"
"5469","Read them into croissant no shit I can hours if you","1"
"5472","Wodka","1"
"5473","Jas i Malgosia","1"
"5475","pasaż","1"
"5478","Kino helios","1"
"5479","Chatka na jatkach","1"
"5480","Witaminka rynek Wrocław","1"
"5481","kałuże","1"
"5484","zwiędłe kwiaty","1"
"5485","piękna zieleń","1"
"5486","Łucznicy","1"
"5487","ukryte schody","1"
"5488","Turystyka","1"
"5489","wyjście","1"
"5490","brak przejscia","1"
"5492","Zamek staw","1"
"5493","światła","1"
"5494","tir","1"
"5495","uwaga","1"
"5496","brak biedy","1"
"5497","trawnik","1"
"5498","rośliny","1"
"5499","Plac zabw","1"
"5500","Stachu kontener dom","1"
"5503","kaczki","1"
"5504","ryby","1"
"5505","Błoto","1"
"5506","Antoni","1"
"5507","Harmonijka","1"
"5508","cichy lowca","1"
"5509","pomost","1"
"5510","nie kąpiemy się","1"
"5511","Grajek","1"
"5513","Cyganka","1"
"5514","jessica","1"
"5516","Piekarnia na Bema","1"
"5517","PolishLody na Bema nie","1"
"5520","Przychodnia na Pabianickiej","1"
"5521","Poczta na rynku","1"
"5524","Przychodnia PCZ Sienkiewicza58","1"
"5525","Taxi","1"
"5528","kolejka","1"
"5529","zagadka","1"
"5537","Interview","1"
"5542","woda","1"
"5544","Valerian Dominikanska","1"
"5546","dzieci","1"
"5547","gołębie","1"
"5550","galeria domikanska","1"
"5552","Brama Oławska","1"
"5553","miniatury","1"
"5555","Szum","1"
"5557","Pakunek","1"
"5558","ziemią a drzewem","1"
"5559","Lodz","1"
"5560","drobiowa watrobka","1"
"5563","Sat","1"
"5564","Winda","1"
"5566","Gorące paczki","1"
"5567","Hotel Monopol","1"
"5568","Opera wrocławska","1"
"5569","Promenada Staromiejska","1"
"5570","Narodowe Forum Muzyki","1"
"5571","Muzeun","1"
"5572","Restauracja jedzenie","1"
"5573","Dworzec Główny PKP","1"
"5574","Dworzec PKS tymczasowy","1"
"5575","Zakład Wodociągów Nowa-Ruda","1"
"5576","BricoMarche Nowa-Ruda-Słupiec","1"
"5577","Mienice miejsce-na-ognisko","1"
"5579","street musician","1"
"5580","Gwizdanie","1"
"5581","poezja","1"
"5582","spotkania autorskie","1"
"5583","Frytki","1"
"5586","Punkt spotkania","1"
"5588","Pieśniarze","1"
"5589","piosenka autorska","1"
"5591","Meksyk","1"
"5593","Galeria Dominikanska","1"
"5594","Tosty","1"
"5596","rurki","1"
"5597","lodziarnia","1"
"5598","lato","1"
"5601","Urząd miasta","1"
"5603","Bar witek","1"
"5604","Księgarnia","1"
"5606","Przystań","1"
"5607","Most zakochanych","1"
"5608","Centrum wolontariatu","1"
"5611","Kantor","1"
"5612","tanio","1"
"5613","restauracja","1"
"5615","Kalambur","1"
"5616","Impreza","1"
"5617","srodmiescie","1"
"5618","pozdrawiam","1"
"5620","sueño","1"
"5623","kroki","1"
"5624","kamien","1"
"5625","cumowanie","1"
"5626","Xawery Dunikowski","1"
"5628","Wzgorze polski","1"
"5629","Rzezby ptaki","1"
"5630","Muzeum","1"
"5631","bluszcz","1"
"5632","Dab wolnosci","1"
"5633","Przejscie przez ulice","1"
"5634","Kamiennogórska","1"
"5635","Pasy","1"
"5636","dobiegniew","1"
"5638","atrakcje","1"
"5639","galerie sztuki","1"
"5641","Konferencja","1"
"5642","plac Dominikański","1"
"5643","kościół św. Wojciecha","1"
"5645","Tag inicial","1"
"5646","disaster","1"
"5657","enregistrament","1"
"5662","Edifici històric","1"
"5663","Presentació","1"
"5664","quickoff","1"
"5668","salablu","1"
"5674","mapatactil","1"
"5675","wayfindin","1"
"5680","Pescivendolo","1"
"5682","Gruppo anziani","1"
"5683","Fonderia","1"
"5684","bronzo","1"
"5687","devozione","1"
"5688","religione","1"
"5691","seconda guerra mondiale","1"
"5693","Sfollati di Pola","1"
"5694","caserma","1"
"5700","Battello 5","1"
"5701","linee guida","1"
"5704","pescado","1"
